metric,score,evaluation_model
Correctness (GEval),0,Llama-3 70B
Correctness (GEval),1,Llama-3 70B
Correctness (GEval),1,Llama-3 70B
Correctness (GEval),1,Llama-3 70B
Correctness (GEval),1,Llama-3 70B
Correctness (GEval),1,Llama-3 70B
Correctness (GEval),1,Llama-3 70B
Correctness (GEval),1,Llama-3 70B
Correctness (GEval),0,Llama-3 70B
Correctness (GEval),0.8,Llama-3 70B
Correctness (GEval),1,Llama-3 70B
Correctness (GEval),1,Llama-3 70B
Correctness (GEval),0,Llama-3 70B
Correctness (GEval),1,Llama-3 70B
Correctness (GEval),0,Llama-3 70B
Correctness (GEval),1,Llama-3 70B
Correctness (GEval),1,Llama-3 70B
Correctness (GEval),1,Llama-3 70B
Correctness (GEval),1,Llama-3 70B
Correctness (GEval),1,Llama-3 70B
Correctness (GEval),1,Llama-3 70B
Correctness (GEval),0,Llama-3 70B
Correctness (GEval),0.8,Llama-3 70B
Correctness (GEval),1,Llama-3 70B
Correctness (GEval),1,Llama-3 70B
Correctness (GEval),1,Llama-3 70B
Correctness (GEval),1,Llama-3 70B
Correctness (GEval),1,Llama-3 70B
Correctness (GEval),0,Llama-3 70B
Correctness (GEval),0,Llama-3 70B
Correctness (GEval),1,Llama-3 70B
Correctness (GEval),0,Llama-3 70B
Correctness (GEval),1,Llama-3 70B
Correctness (GEval),1,Llama-3 70B
Correctness (GEval),0,Llama-3 70B
Correctness (GEval),0.8,Llama-3 70B
Correctness (GEval),0,Llama-3 70B
Correctness (GEval),1,Llama-3 70B
Correctness (GEval),1,Llama-3 70B
Correctness (GEval),0.8,Llama-3 70B
Correctness (GEval),1,Llama-3 70B
Correctness (GEval),0.9,Llama-3 70B
Correctness (GEval),1,Llama-3 70B
Correctness (GEval),1,Llama-3 70B
Correctness (GEval),0.9,Llama-3 70B
Correctness (GEval),1,Llama-3 70B
Correctness (GEval),0,Llama-3 70B
Correctness (GEval),1,Llama-3 70B
Correctness (GEval),0.8,Llama-3 70B
Correctness (GEval),1,Llama-3 70B
Correctness (GEval),1,Llama-3 70B
Correctness (GEval),1,Llama-3 70B
Correctness (GEval),0,Llama-3 70B
Correctness (GEval),1,Llama-3 70B
Correctness (GEval),1,Llama-3 70B
Correctness (GEval),1,Llama-3 70B
Correctness (GEval),1,Llama-3 70B
Correctness (GEval),0.6,Llama-3 70B
Correctness (GEval),1,Llama-3 70B
Correctness (GEval),0.8,Llama-3 70B
Correctness (GEval),1,Llama-3 70B
Correctness (GEval),0.2,Llama-3 70B
Correctness (GEval),1,Llama-3 70B
Correctness (GEval),1,Llama-3 70B
Correctness (GEval),0.8,Llama-3 70B
Correctness (GEval),1,Llama-3 70B
Correctness (GEval),1,Llama-3 70B
Correctness (GEval),1,Llama-3 70B
Correctness (GEval),1,Llama-3 70B
Correctness (GEval),1,Llama-3 70B
Correctness (GEval),1,Llama-3 70B
Correctness (GEval),1,Llama-3 70B
Correctness (GEval),0.8,Llama-3 70B
Correctness (GEval),0.2,Llama-3 70B
Correctness (GEval),1,Llama-3 70B
Correctness (GEval),0,Llama-3 70B
Correctness (GEval),0,Llama-3 70B
Correctness (GEval),0,Llama-3 70B
Correctness (GEval),0,Llama-3 70B
Correctness (GEval),1,Llama-3 70B
Correctness (GEval),0,Llama-3 70B
Correctness (GEval),0,Llama-3 70B
Correctness (GEval),0,Llama-3 70B
Correctness (GEval),0.2,Llama-3 70B
Correctness (GEval),0.9,Llama-3 70B
Correctness (GEval),1,Llama-3 70B
Correctness (GEval),1,Llama-3 70B
Correctness (GEval),0.8,Llama-3 70B
