metric,score,evaluation_model
Contextual Precision,1,Llama-3 70B
Contextual Precision,0.710909091,Llama-3 70B
Contextual Precision,0.755555556,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,0.166666667,Llama-3 70B
Contextual Precision,0.77012785,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,0.813492063,Llama-3 70B
Contextual Precision,0.691666667,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,0.642857143,Llama-3 70B
Contextual Precision,0.755555556,Llama-3 70B
Contextual Precision,0.5,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,0.5,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,0.142857143,Llama-3 70B
Contextual Precision,0.833333333,Llama-3 70B
Contextual Precision,0.5,Llama-3 70B
Contextual Precision,0.333333333,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,0.333333333,Llama-3 70B
Contextual Precision,0.25,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,0.291666667,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,0,Llama-3 70B
Contextual Precision,0.333333333,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,0,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,0.5,Llama-3 70B
Contextual Precision,0.2,Llama-3 70B
Contextual Precision,0,Llama-3 70B
Contextual Precision,0.75,Llama-3 70B
Contextual Precision,0.2,Llama-3 70B
Contextual Precision,0,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,0,Llama-3 70B
Contextual Precision,0.25,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,0.083333333,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,0.333333333,Llama-3 70B
Contextual Precision,0.25,Llama-3 70B
Contextual Precision,0,Llama-3 70B
Contextual Precision,0.7,Llama-3 70B
Contextual Precision,0,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,0.833333333,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,0.916666667,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,0.666666667,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,0.25,Llama-3 70B
Contextual Precision,0.590909091,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,0.683333333,Llama-3 70B
Contextual Precision,0.071428571,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,0,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,1,Llama-3 70B
