metric,score,evaluation_model,reason,error
Correctness (GEval),1.0,Llama-3 70B,"The actual output matches the expected output with the same information and structure, answering the input question directly and accurately",
Correctness (GEval),0.8,Llama-3 70B,"The actual output includes extra information about one-time DIDs and the format YYYYMMDD, but the main concept of the approval date is the same as the expected output",
Correctness (GEval),1.0,Llama-3 70B,"The actual output matches the expected output, and answers the input question directly and accurately",
Correctness (GEval),1.0,Llama-3 70B,"The actual output matches the expected output with the same information and details, and answers the input question correctly",
Correctness (GEval),0.2,Llama-3 70B,The actual output does not answer the input question and provides unrelated information about the annual budget and operating plan,
Correctness (GEval),1.0,Llama-3 70B,"The actual output matches the expected output with the same details and information, and answers the input question correctly",
Correctness (GEval),0.6,Llama-3 70B,The actual output does not match the expected output,
Correctness (GEval),1.0,Llama-3 70B,"The actual output matches the expected output with the correct stages of the approach, including requirements elicitation and requirements specification, with additional information that does not contradict the expected output",
Correctness (GEval),1.0,Llama-3 70B,"The actual output directly matches the expected output with no discrepancies in details or values, and answers the input question correctly",
Correctness (GEval),1.0,Llama-3 70B,"The actual output accurately answers the input, and the details are consistent with the expected output, with no discrepancies found in the information provided, and the extra information included does not affect the overall accuracy of the response",
Correctness (GEval),1.0,Llama-3 70B,"The actual output matches the expected output exactly, with no discrepancies in details, values, or information",
Correctness (GEval),1.0,Llama-3 70B,"The actual output accurately describes the component level, matching the expected output",
Correctness (GEval),1.0,Llama-3 70B,"The actual output matches the expected output, providing accurate information about business processes, including their structured and ordered activities, and their goal-oriented nature in an organization, with additional details on inputs, outputs, and execution by people and/or technical components that exchange information, which are acceptable according to the evaluation steps provided",
Correctness (GEval),0.8,Llama-3 70B,"The actual output does not directly answer the input, but it provides examples of functionality related to evidence management, which is close to the expected output",
Correctness (GEval),1.0,Llama-3 70B,"The actual output matches the expected output, providing the same information in the same order, and answers the input question directly and accurately",
Correctness (GEval),0.8,Llama-3 70B,"The actual output includes extra information and presents details in a different order than the expected output, but answers the input question and maintains factual accuracy in the provided details",
Correctness (GEval),1.0,Llama-3 70B,"The actual output answers the input, includes the necessary information and presents it in a different order than the expected output, with no discrepancies in details or values",
Correctness (GEval),1.0,Llama-3 70B,"The actual output answers the input and provides the necessary information, with extra details about upgrading to transport astronauts, which is acceptable according to the evaluation steps",
Correctness (GEval),1.0,Llama-3 70B,"The actual output matches the expected output and provides additional information in a different order, while maintaining the main concept of providing a Remote Control Station at the analogue site and another location",
Correctness (GEval),1.0,Llama-3 70B,"The actual output matches the expected output directly, with no discrepancies in details or values, and answers the input question accurately",
Correctness (GEval),1.0,Llama-3 70B,"The actual output matches the expected output with the same unit and precision, and answers the input question directly and accurately",
Correctness (GEval),0.8,Llama-3 70B,"The actual output does not provide a single capable speed, but rather various speed-related requirements in different scenarios, although it does mention a speed of at least 15 km/h in one of the scenarios, which aligns with the expected output",
Correctness (GEval),1.0,Llama-3 70B,"The actual output matches the expected output exactly, with no discrepancies in details, values, or information between the two outputs",
Correctness (GEval),1.0,Llama-3 70B,"The actual output matches the expected output with the same details and information, answering the input question correctly and accurately",
Correctness (GEval),0.8,Llama-3 70B,"The actual output does not match the expected output in terms of details, but it answers the input question and conveys a similar concept of performing system-level tasks via procedures or programs",
Correctness (GEval),1.0,Llama-3 70B,"The actual output matches the expected output directly with no discrepancies in details, values, or information, and answers the input correctly",
Correctness (GEval),1.0,Llama-3 70B,"The actual output matches the expected output with exact wording and details, fulfilling all evaluation steps",
Correctness (GEval),1.0,Llama-3 70B,"The actual output matches the expected output with the same precision and units, and answers the input question directly and accurately",
Correctness (GEval),1.0,Llama-3 70B,"The actual output is a direct rephrasing of the input and maintains the same meaning and details as the expected output, with no discrepancies or omissions in information or values",
Correctness (GEval),0.8,Llama-3 70B,"The actual output provides more information than the expected output, but the main concept of not exceeding a certain deg half cone angle during the comet nucleus observation phase is the same in both outputs, and the actual output answers the input question correctly",
Correctness (GEval),1.0,Llama-3 70B,"The actual output accurately answers the input and includes extra information that is not present in the expected output, but still maintains the main concepts and factual accuracy",
Correctness (GEval),0.0,Llama-3 70B,"The actual output does not match the expected output in terms of the year of launch, which is a factual inaccuracy",
Correctness (GEval),1.0,Llama-3 70B,"The actual output matches the expected output and provides additional relevant information without any discrepancies in details, values, or information",
Correctness (GEval),1.0,Llama-3 70B,"The actual output matches the expected output, with some extra information that does not affect the main concept, and answers the input question directly and accurately",
Correctness (GEval),0.2,Llama-3 70B,"The actual output does not provide specific details about comet Wirtanen, and instead discusses general objectives of the Rosetta mission, omitting the expected information about the near-nucleus phase and perihelion distance",
Correctness (GEval),1.0,Llama-3 70B,"The actual output matches the expected output with the same details and information, and answers the input question directly and accurately",
Correctness (GEval),1.0,Llama-3 70B,"The actual output accurately defines Yield Loads, providing additional information about the concept without contradicting the expected output, and maintains the same main concepts and details as the expected output",
Correctness (GEval),1.0,Llama-3 70B,"The actual output directly matches the expected output in terms of factual accuracy, and the details are presented in a coherent manner without any discrepancies or omissions, and the main concepts are the same as the expected output",
Correctness (GEval),1.0,Llama-3 70B,"The actual output matches the expected output in terms of factual accuracy, with the same main concepts and details presented in a different order",
Correctness (GEval),0.8,Llama-3 70B,"Actual output has extra information and different order, but main concepts are the same as expected output, with slight difference in interval duration and precision values",
Correctness (GEval),1.0,Llama-3 70B,"The actual output directly matches the expected output in terms of factual accuracy, units, and precision values, with no discrepancies in details or information, and answers the input question accurately",
Correctness (GEval),1.0,Llama-3 70B,"The actual output is a direct rephrased of the expected output, maintaining factual accuracy and providing the same information in a slightly different order",
Correctness (GEval),0.8,Llama-3 70B,"The actual output provides more detailed information than the expected output, but still answers the input question and maintains the main concepts of the expected output, with some discrepancies in details and values",
Correctness (GEval),1.0,Llama-3 70B,"The actual output matches the expected output, and the extra information provided is acceptable according to the evaluation steps",
Correctness (GEval),1.0,Llama-3 70B,"The actual output directly matches the expected output, providing the required thermal control capability to prevent condensation of propellants outside the reach of the propellant management device within the tanks",
Correctness (GEval),1.0,Llama-3 70B,"The actual output accurately answers the input and provides additional details about the project and its approval, which is acceptable according to the evaluation steps",
Correctness (GEval),0.9,Llama-3 70B,"The actual output provides additional information and presents details in a different order, but still answers the input question and meets the necessary requirements and standards",
Correctness (GEval),0.0,Llama-3 70B,"The actual output does not match the expected output, and it provides unrelated information about stock movements and holdings instead of annual trend analysis of quantified benefits of proposed and implemented changes from continuous improvements and value engineering",
