metric,score,evaluation_model
Answer Relevancy,1,Llama-3 70B
Answer Relevancy,1,Llama-3 70B
Answer Relevancy,1,Llama-3 70B
Answer Relevancy,1,Llama-3 70B
Answer Relevancy,1,Llama-3 70B
Answer Relevancy,1,Llama-3 70B
Answer Relevancy,1,Llama-3 70B
Answer Relevancy,1,Llama-3 70B
Answer Relevancy,1,Llama-3 70B
Answer Relevancy,1,Llama-3 70B
Answer Relevancy,0.5,Llama-3 70B
Answer Relevancy,1,Llama-3 70B
Answer Relevancy,1,Llama-3 70B
Answer Relevancy,1,Llama-3 70B
Answer Relevancy,1,Llama-3 70B
Answer Relevancy,0,Llama-3 70B
Answer Relevancy,1,Llama-3 70B
Answer Relevancy,1,Llama-3 70B
Answer Relevancy,1,Llama-3 70B
Answer Relevancy,1,Llama-3 70B
Answer Relevancy,1,Llama-3 70B
Answer Relevancy,1,Llama-3 70B
Answer Relevancy,1,Llama-3 70B
Answer Relevancy,1,Llama-3 70B
Answer Relevancy,1,Llama-3 70B
Answer Relevancy,1,Llama-3 70B
Answer Relevancy,1,Llama-3 70B
Answer Relevancy,1,Llama-3 70B
Answer Relevancy,1,Llama-3 70B
Answer Relevancy,1,Llama-3 70B
Answer Relevancy,1,Llama-3 70B
Answer Relevancy,1,Llama-3 70B
Answer Relevancy,1,Llama-3 70B
Answer Relevancy,1,Llama-3 70B
Answer Relevancy,1,Llama-3 70B
Answer Relevancy,0,Llama-3 70B
Answer Relevancy,1,Llama-3 70B
Answer Relevancy,1,Llama-3 70B
Answer Relevancy,0.8,Llama-3 70B
Answer Relevancy,1,Llama-3 70B
Answer Relevancy,1,Llama-3 70B
Answer Relevancy,1,Llama-3 70B
Answer Relevancy,1,Llama-3 70B
Answer Relevancy,1,Llama-3 70B
Answer Relevancy,1,Llama-3 70B
Answer Relevancy,1,Llama-3 70B
Answer Relevancy,1,Llama-3 70B
Answer Relevancy,1,Llama-3 70B
Answer Relevancy,1,Llama-3 70B
Answer Relevancy,1,Llama-3 70B
Answer Relevancy,0,Llama-3 70B
Answer Relevancy,1,Llama-3 70B
Answer Relevancy,1,Llama-3 70B
Answer Relevancy,1,Llama-3 70B
Answer Relevancy,1,Llama-3 70B
Answer Relevancy,1,Llama-3 70B
Answer Relevancy,1,Llama-3 70B
Answer Relevancy,1,Llama-3 70B
Answer Relevancy,1,Llama-3 70B
Answer Relevancy,0,Llama-3 70B
Answer Relevancy,1,Llama-3 70B
Answer Relevancy,1,Llama-3 70B
Answer Relevancy,1,Llama-3 70B
Answer Relevancy,1,Llama-3 70B
Answer Relevancy,0,Llama-3 70B
Answer Relevancy,1,Llama-3 70B
Answer Relevancy,1,Llama-3 70B
Answer Relevancy,1,Llama-3 70B
Answer Relevancy,1,Llama-3 70B
Answer Relevancy,0,Llama-3 70B
Answer Relevancy,0,Llama-3 70B
Answer Relevancy,1,Llama-3 70B
Answer Relevancy,1,Llama-3 70B
Answer Relevancy,1,Llama-3 70B
Answer Relevancy,1,Llama-3 70B
Answer Relevancy,1,Llama-3 70B
Answer Relevancy,1,Llama-3 70B
Answer Relevancy,1,Llama-3 70B
Answer Relevancy,1,Llama-3 70B
Answer Relevancy,1,Llama-3 70B
Answer Relevancy,1,Llama-3 70B
Answer Relevancy,1,Llama-3 70B
Answer Relevancy,1,Llama-3 70B
Answer Relevancy,1,Llama-3 70B
Answer Relevancy,1,Llama-3 70B
Answer Relevancy,1,Llama-3 70B
Answer Relevancy,1,Llama-3 70B
Answer Relevancy,1,Llama-3 70B
