metric,score,evaluation_model
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,0.666666667,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,0.666666667,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,0,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,0.333333333,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,0,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,0,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,0.5,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,0,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,0.333333333,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,0.5,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,0.333333333,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,0.666666667,Llama-3 70B
Contextual Relevancy,0.333333333,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,0,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
Contextual Relevancy,0.666666667,Llama-3 70B
Contextual Relevancy,1,Llama-3 70B
