metric,score,evaluation_model
Contextual Recall,1,Llama-3 70B
Contextual Recall,1,Llama-3 70B
Contextual Recall,0,Llama-3 70B
Contextual Recall,1,Llama-3 70B
Contextual Recall,0.666666667,Llama-3 70B
Contextual Recall,1,Llama-3 70B
Contextual Recall,1,Llama-3 70B
Contextual Recall,1,Llama-3 70B
Contextual Recall,1,Llama-3 70B
Contextual Recall,0,Llama-3 70B
Contextual Recall,1,Llama-3 70B
Contextual Recall,1,Llama-3 70B
Contextual Recall,1,Llama-3 70B
Contextual Recall,1,Llama-3 70B
Contextual Recall,0.272727273,Llama-3 70B
Contextual Recall,0,Llama-3 70B
Contextual Recall,1,Llama-3 70B
Contextual Recall,0.153846154,Llama-3 70B
Contextual Recall,0.75,Llama-3 70B
Contextual Recall,1,Llama-3 70B
Contextual Recall,1,Llama-3 70B
Contextual Recall,1,Llama-3 70B
Contextual Recall,1,Llama-3 70B
Contextual Recall,1,Llama-3 70B
Contextual Recall,0.75,Llama-3 70B
Contextual Recall,1,Llama-3 70B
Contextual Recall,1,Llama-3 70B
Contextual Recall,1,Llama-3 70B
Contextual Recall,0.166666667,Llama-3 70B
Contextual Recall,0.5,Llama-3 70B
Contextual Recall,0,Llama-3 70B
Contextual Recall,0.8,Llama-3 70B
Contextual Recall,1,Llama-3 70B
Contextual Recall,1,Llama-3 70B
Contextual Recall,1,Llama-3 70B
Contextual Recall,1,Llama-3 70B
Contextual Recall,0.5,Llama-3 70B
Contextual Recall,0.384615385,Llama-3 70B
Contextual Recall,0.5,Llama-3 70B
Contextual Recall,0,Llama-3 70B
Contextual Recall,0.333333333,Llama-3 70B
Contextual Recall,0,Llama-3 70B
Contextual Recall,0,Llama-3 70B
Contextual Recall,0.428571429,Llama-3 70B
Contextual Recall,1,Llama-3 70B
Contextual Recall,1,Llama-3 70B
Contextual Recall,1,Llama-3 70B
Contextual Recall,0,Llama-3 70B
Contextual Recall,0.666666667,Llama-3 70B
Contextual Recall,1,Llama-3 70B
Contextual Recall,0.5,Llama-3 70B
Contextual Recall,0,Llama-3 70B
Contextual Recall,0.5,Llama-3 70B
Contextual Recall,1,Llama-3 70B
Contextual Recall,1,Llama-3 70B
Contextual Recall,1,Llama-3 70B
Contextual Recall,1,Llama-3 70B
Contextual Recall,0.333333333,Llama-3 70B
Contextual Recall,1,Llama-3 70B
Contextual Recall,1,Llama-3 70B
Contextual Recall,1,Llama-3 70B
Contextual Recall,0.9,Llama-3 70B
Contextual Recall,1,Llama-3 70B
Contextual Recall,1,Llama-3 70B
Contextual Recall,1,Llama-3 70B
Contextual Recall,1,Llama-3 70B
Contextual Recall,1,Llama-3 70B
Contextual Recall,0.857142857,Llama-3 70B
Contextual Recall,1,Llama-3 70B
Contextual Recall,1,Llama-3 70B
Contextual Recall,0.666666667,Llama-3 70B
Contextual Recall,1,Llama-3 70B
Contextual Recall,1,Llama-3 70B
Contextual Recall,1,Llama-3 70B
Contextual Recall,1,Llama-3 70B
Contextual Recall,1,Llama-3 70B
Contextual Recall,1,Llama-3 70B
Contextual Recall,1,Llama-3 70B
Contextual Recall,1,Llama-3 70B
Contextual Recall,1,Llama-3 70B
Contextual Recall,1,Llama-3 70B
Contextual Recall,0,Llama-3 70B
Contextual Recall,1,Llama-3 70B
Contextual Recall,0,Llama-3 70B
Contextual Recall,0.307692308,Llama-3 70B
Contextual Recall,1,Llama-3 70B
Contextual Recall,1,Llama-3 70B
Contextual Recall,1,Llama-3 70B
